date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-12,2,0,0.0
2020-03-13,1,0,0.8
2020-03-14,1,0,1.6
2020-03-15,0,0,1.6
2020-03-16,1,0,2.4
2020-03-17,2,0,3.9
2020-03-18,1,0,4.7
2020-03-19,0,0,4.7
2020-03-20,1,0,4.7
2020-03-21,0,0,3.9
2020-03-22,0,0,3.9
2020-03-23,0,0,3.1
2020-03-24,5,0,5.4
2020-03-25,3,0,6.9
2020-03-26,2,0,8.5
2020-03-27,7,0,13.1
2020-03-28,9,0,20.0
2020-03-29,2,0,21.6
2020-03-30,12,0,30.9
2020-03-31,9,0,34.0
2020-04-01,7,0,37.1
2020-04-02,14,0,46.3
2020-04-03,18,0,54.9
2020-04-04,10,0,55.7
2020-04-05,15,0,65.7
2020-04-06,23,0,74.1
2020-04-07,12,0,76.5
2020-04-08,14,0,81.9
2020-04-09,15,0,82.7
2020-04-10,12,0,78.0
2020-04-11,11,0,78.8
2020-04-12,4,0,70.3
2020-04-13,8,0,58.8
2020-04-14,10,0,57.2
2020-04-15,13,0,56.4
2020-04-16,13,0,54.9
2020-04-17,10,3,53.3
2020-04-18,15,5,56.4
2020-04-19,10,21,61.0
2020-04-20,10,7,62.6
2020-04-21,14,4,65.7
2020-04-22,9,10,62.6
2020-04-23,14,6,63.4
2020-04-24,14,10,66.5
2020-04-25,6,6,59.5
2020-04-26,3,0,54.1
2020-04-27,8,2,52.5
2020-04-28,8,7,47.9
2020-04-29,19,1,55.7
2020-04-30,21,3,61.0
2020-05-01,5,5,54.1
2020-05-02,10,8,57.2
2020-05-03,9,4,61.9
2020-05-04,3,4,58.0
2020-05-05,4,0,54.9
2020-05-06,5,2,44.0
2020-05-07,8,3,34.0
2020-05-08,7,3,35.5
2020-05-09,7,2,33.2
2020-05-10,2,4,27.8
2020-05-11,11,0,34.0
2020-05-12,6,2,35.5
2020-05-13,14,2,42.5
2020-05-14,8,2,42.5
2020-05-15,3,4,39.4
2020-05-16,18,2,47.9
2020-05-17,10,2,54.1
2020-05-18,10,8,53.3
2020-05-19,15,5,60.3
2020-05-20,11,3,58.0
2020-05-21,12,3,61.1
2020-05-22,1,4,59.5
2020-05-23,2,3,47.2
2020-05-24,2,0,40.9
2020-05-25,3,4,35.5
2020-05-26,7,1,29.3
2020-05-27,4,2,23.9
2020-05-28,5,0,18.5
2020-05-29,17,1,30.9
2020-05-30,0,5,29.3
2020-05-31,3,0,30.2
