date,newCasesBySpecimenDate,newCasesByPublishDate,rate100kSpecDateLast7Days
2020-03-03,1,0,0.0
2020-03-04,1,0,0.2
2020-03-05,2,0,0.5
2020-03-06,0,0,0.5
2020-03-07,1,0,0.7
2020-03-08,0,0,0.7
2020-03-09,2,0,1.1
2020-03-10,1,0,1.2
2020-03-11,0,0,1.0
2020-03-12,0,0,0.7
2020-03-13,7,0,2.0
2020-03-14,0,0,1.8
2020-03-15,3,0,2.3
2020-03-16,6,0,3.0
2020-03-17,4,0,3.6
2020-03-18,3,0,4.2
2020-03-19,4,0,4.9
2020-03-20,5,0,4.5
2020-03-21,3,0,5.0
2020-03-22,4,0,5.3
2020-03-23,12,0,6.3
2020-03-24,10,0,7.4
2020-03-25,14,0,9.3
2020-03-26,22,0,12.6
2020-03-27,14,0,14.2
2020-03-28,31,0,19.3
2020-03-29,23,0,22.6
2020-03-30,24,0,24.8
2020-03-31,33,0,29.0
2020-04-01,29,0,31.7
2020-04-02,34,0,33.8
2020-04-03,29,0,36.5
2020-04-04,39,0,38.0
2020-04-05,37,0,40.5
2020-04-06,72,0,49.2
2020-04-07,55,0,53.1
2020-04-08,53,0,57.4
2020-04-09,64,0,62.8
2020-04-10,37,0,64.3
2020-04-11,43,0,64.9
2020-04-12,36,0,64.8
2020-04-13,39,0,58.8
2020-04-14,52,0,58.3
2020-04-15,39,0,55.8
2020-04-16,35,0,50.6
2020-04-17,14,44,46.4
2020-04-18,57,24,49.0
2020-04-19,35,21,48.8
2020-04-20,42,19,49.3
2020-04-21,38,20,46.8
2020-04-22,57,22,50.0
2020-04-23,49,35,52.5
2020-04-24,54,22,59.7
2020-04-25,35,25,55.7
2020-04-26,26,13,54.1
2020-04-27,23,22,50.8
2020-04-28,35,22,50.2
2020-04-29,51,14,49.1
2020-04-30,33,13,46.3
2020-05-01,38,32,43.4
2020-05-02,23,26,41.2
2020-05-03,28,36,41.6
2020-05-04,23,14,41.5
2020-05-05,46,24,43.5
2020-05-06,47,12,42.9
2020-05-07,38,53,43.7
2020-05-08,28,22,41.9
2020-05-09,25,23,42.3
2020-05-10,29,24,42.5
2020-05-11,35,8,44.6
2020-05-12,34,15,42.5
2020-05-13,37,13,40.6
2020-05-14,24,14,38.1
2020-05-15,24,19,37.5
2020-05-16,38,9,39.8
2020-05-17,29,6,39.7
2020-05-18,35,18,39.8
2020-05-19,47,17,42.1
2020-05-20,33,17,41.4
2020-05-21,24,20,41.4
2020-05-22,28,20,42.1
2020-05-23,18,10,38.5
2020-05-24,16,12,36.2
2020-05-25,24,5,34.2
2020-05-26,23,9,29.8
2020-05-27,11,14,25.9
2020-05-28,32,6,27.4
2020-05-29,20,7,25.9
2020-05-30,24,5,27.0
2020-05-31,20,8,27.7
2020-06-01,18,6,26.6
2020-06-02,23,3,26.7
2020-06-03,17,10,27.7
2020-06-04,18,10,25.2
2020-06-05,22,5,25.5
2020-06-06,9,8,22.9
2020-06-07,8,6,20.7
2020-06-08,19,5,20.9
2020-06-09,16,4,19.6
2020-06-10,14,1,19.1
2020-06-11,18,7,19.0
2020-06-12,14,5,17.7
2020-06-13,14,11,18.5
2020-06-14,19,12,20.5
2020-06-15,16,5,20.0
2020-06-16,18,9,20.3
2020-06-17,20,8,21.4
2020-06-18,26,4,22.9
2020-06-19,16,6,23.2
2020-06-20,15,5,23.4
2020-06-21,6,3,21.1
2020-06-22,15,3,20.9
2020-06-23,12,6,19.8
2020-06-24,20,0,19.8
2020-06-25,14,7,17.6
2020-06-26,11,1,16.7
2020-06-27,18,9,17.3
2020-06-28,9,3,17.8
2020-06-29,10,3,16.9
2020-06-30,7,0,16.0
2020-07-01,15,1088,15.1
2020-07-02,16,6,15.5
2020-07-03,14,6,16.0
2020-07-04,12,21,14.9
2020-07-05,6,11,14.4
2020-07-06,13,11,14.9
2020-07-07,8,11,15.1
2020-07-08,18,10,15.7
2020-07-09,7,10,14.0
2020-07-10,14,10,14.1
2020-07-11,9,13,13.5
2020-07-12,9,9,14.0
2020-07-13,16,12,14.6
2020-07-14,9,13,14.8
2020-07-15,15,11,14.2
2020-07-16,11,4,15.0
2020-07-17,6,17,13.5
